author_channel_id,cluster_id,pagerank,degree
UC8s1cqalCTO28YZ53sPiRQA,13,0.0007218808562468035,99
UCIC6e-zdq6Ief8H29uxWNyQ,4,0.0007218022190176691,44
UCK8Gvc2ipYTAxUE-zmyQ0-A,4,0.0007204873315582486,40
UCHE7JnC8nfYtTgO8ZG_3Z_g,65,0.0007189104417304396,83
UCxRtvgWbeqkI5t6qfxSykDQ,34,0.0007162735122094294,24
UC-xHdn5_pYubUvzWV4IUyEQ,27,0.0007146378127809727,61
UC74mZQE_fnC4rx5J4Otw6dA,83,0.0007118237373668249,28
UCoQCtwpWvDCt8cc89hRLkaA,8,0.000707546270564992,209
UCbL_a-_HBJSanHtE_nw9Rvg,22,0.000705681994291125,28
UCTymF5-r6lFm4TvXDdzq07A,8,0.0007052601529716698,201
UC5tlsZa9kNwjnYDxRF9sgQQ,13,0.0007051258983615041,97
UCYvJ5aP5hxhjUQAyNkOdmaQ,13,0.0007005367277877172,95
UC8J4nkrsWAUK25t5xX1I6Lg,55,0.0007000451989747139,23
UCYSd92DvnmvLNYKPxvaO5Ww,39,0.0006994972541090642,35
UCsqbJmTXlMo4dcOodLI46VA,24,0.0006892805535364782,85
UCDrUQjywpqalvTcb60y2vOA,65,0.0006890032965667106,82
UCk7B3OWHSc_e5Vp2nB2BkhA,0,0.0006854403976713126,72
UCdIPjho4Jyiv5Hf3OqOh-0Q,24,0.0006852678068700949,81
UCtWhOHyFNuuregAoTRSqgUA,15,0.0006809251532525754,92
UCzepkP4uSW3m81vZEn6oazQ,8,0.0006775981512878251,201
UCCP65Q33skxDqvAaN9jVbZw,92,0.0006750078187156694,15
UC7msJ7-L6zVxDT8Eheg0fZA,61,0.0006708435226149921,25
UCOtf0PqB21pIQPVF9feapJg,16,0.000668417727431526,25
UCRPQBrFqSPG6sNuXRopZs0Q,29,0.0006623013678660379,62
UCvglaMjVCZqo9VR2BRSDx0Q,26,0.0006612724050257479,72
UC9ltDowk-aLrHuqjAiUvU5g,15,0.0006584568611394627,90
UCRzWsGu_ojpqDZthxLZhESg,78,0.0006581173964715232,52
UCG4mLcOwWKV-jb5lENO6Saw,13,0.000657989596431057,88
UCaqfi9zWV_vG8voIjNuOgrw,8,0.0006576567838734727,195
UC1YRWSNh9aWpv2pnhlfuY6A,8,0.00065629404223129,189
